Genus,Tb.Th Mean (mm),Tb.Sp Mean (mm),BV/TV,DA
Homo,0.289,0.661,0.321022,0.644
Homo,0.301,0.672,0.330927,0.677
Homo,0.296,0.619,0.319537,0.692
Homo,0.288,0.657,0.286786,0.681
Homo,0.258,0.722,0.265218,0.696
Homo,0.263,0.592,0.30152,0.672
Homo,0.293,0.684,0.295027,0.692
Homo,0.281,0.686,0.288466,0.642
Homo,0.254,0.61,0.278262,0.674
Homo,0.224,0.74,0.219481,0.731
Homo,0.31,0.819,0.285341,0.637
Pan,0.308,0.571,0.4393497,0.48
Pan,0.348,0.58,0.48532,0.605
Pan,0.315,0.635,0.428581,0.554
Pan,0.313,0.598,0.459692,0.571
Pan,0.384,0.702,0.459503,0.558
Pan,0.309,0.444,0.498849,0.528
Pan,0.443,0.62,0.577247,0.683
Pan,0.334,0.542,0.522126,0.596
Pan,0.328,0.51,0.524135,0.685
Pan,0.289,0.505,0.490049,0.411
Gorilla,0.351,0.472,0.545481,0.551
Gorilla,0.348,0.655,0.401911,0.475
Gorilla,0.317,0.58,0.45489,0.583
Gorilla,0.393,0.928,0.411719,0.505
Gorilla,0.386,0.723,0.450677,0.68
Gorilla,0.4,0.89,0.406493,0.594
Gorilla,0.401,1.063,0.411191,0.711
Gorilla,0.329,0.542,0.447718,0.419
Gorilla,0.331,0.727,0.401094,0.52
Pongo,0.381,0.591,0.520319,0.647
Pongo,0.365,0.658,0.464835,0.441
Pongo,0.384,0.727,0.409422,0.48
Pongo,0.305,0.816,0.337019,0.446
Pongo,0.412,0.673,0.544786692,0.751
Pongo,0.283,0.562,0.427769337,0.555
Pongo,0.261,0.767,0.352540208,0.582
Pongo,0.314,0.636,0.423617578,0.512
