Genus,Tb.Th Mean (mm),Tb.Sp Mean (mm),BV/TV,DA
Homo,0.275,0.519,0.358295,0.634
Homo,0.281,0.528,0.36001,0.645
Homo,0.3,0.485,0.390192,0.688
Homo,0.299,0.56,0.328766,0.68
Homo,0.289,0.536,0.373667,0.607
Homo,0.271,0.492,0.361553,0.676
Homo,0.307,0.548,0.371964,0.678
Homo,0.315,0.502,0.429308,0.74
Homo,0.286,0.489,0.393874,0.688
Homo,0.233,0.633,0.240192,0.627
Homo,0.336,0.655,0.360598,0.595
Pan,0.328,0.488,0.542802,0.689
Pan,0.386,0.507,0.58065,0.666
Pan,0.329,0.633,0.443715,0.461
Pan,0.33,0.517,0.525564,0.408
Pan,0.382,0.603,0.521278,0.443
Pan,0.307,0.479,0.484656,0.271
Pan,0.414,0.618,0.559225,0.548
Pan,0.326,0.55,0.516069,0.375
Pan,0.347,0.375,0.651565,0.737
Pan,0.313,0.423,0.559516,0.517
Gorilla,0.374,0.467,0.57361,0.44
Gorilla,0.401,0.571,0.531208,0.443
Gorilla,0.317,0.546,0.475115,0.354
Gorilla,0.431,0.785,0.497482,0.459
Gorilla,0.412,0.59,0.55904,0.589
Gorilla,0.423,0.73,0.494987,0.564
Gorilla,0.403,0.905,0.440503,0.573
Gorilla,0.384,0.391,0.641,0.789
Gorilla,0.358,0.647,0.469649,0.391
Pongo,0.39,0.549,0.552117,0.487
Pongo,0.361,0.548,0.512179,0.51
Pongo,0.366,0.65,0.446422,0.613
Pongo,0.323,0.608,0.425653,0.452
Pongo,0.369,0.414,0.675014836,0.863
Pongo,0.278,0.534,0.420745223,0.261
Pongo,0.302,0.522,0.531615878,0.615
Pongo,0.315,0.574,0.459577248,0.477
