Genus,Tb.Th Mean (mm),Tb.Sp Mean (mm),BV/TV,DA
Homo,0.252,0.682,0.233981,0.388
Homo,0.261,0.697,0.240453,0.39
Homo,0.245,0.673,0.229668,0.488
Homo,0.259,0.603,0.277205,0.632
Homo,0.246,0.705,0.230997,0.481
Homo,0.252,0.606,0.273562,0.614
Homo,0.257,0.747,0.234474,0.595
Homo,0.27,0.696,0.265045,0.564
Homo,0.215,0.758,0.171219,0.466
Homo,0.193,0.685,0.171802,0.691
Homo,0.28,0.83,0.229802,0.51
Pan,0.325,0.545,0.466463,0.413
Pan,0.383,0.55,0.526447,0.497
Pan,0.317,0.618,0.402986,0.493
Pan,0.331,0.603,0.461302,0.476
Pan,0.409,0.625,0.504122,0.522
Pan,0.317,0.442,0.513206,0.381
Pan,0.431,0.678,0.52116,0.445
Pan,0.338,0.556,0.501763,0.482
Pan,0.348,0.454,0.546543,0.513
Pan,0.291,0.495,0.476181,0.402
Gorilla,0.317,0.518,0.45463,0.399
Gorilla,0.318,0.63,0.365755,0.327
Gorilla,0.281,0.58,0.391098,0.428
Gorilla,0.364,0.786,0.397442,0.423
Gorilla,0.407,0.651,0.486921,0.521
Gorilla,0.359,0.726,0.404095,0.485
Gorilla,0.391,0.845,0.416302,0.588
Gorilla,0.315,0.475,0.455434,0.345
Gorilla,0.338,0.711,0.397834,0.389
Pongo,0.346,0.562,0.489189,0.547
Pongo,0.323,0.612,0.413447,0.471
Pongo,0.316,0.707,0.367028,0.629
Pongo,0.302,0.643,0.404833,0.539
Pongo,0.407,0.565,0.553519604,0.593
Pongo,0.263,0.496,0.410205156,0.39
Pongo,0.261,0.633,0.360302434,0.479
Pongo,0.305,0.526,0.444182798,0.475
