Genus,Tb.Th Mean (mm),Tb.Sp Mean (mm),BV/TV,DA
Homo,0.221,0.64,0.217451,0.487
Homo,0.227,0.664,0.216356,0.479
Homo,0.235,0.678,0.217118,0.533
Homo,0.233,0.664,0.207816,0.542
Homo,0.243,0.564,0.293208,0.61
Homo,0.219,0.878,0.166892,0.546
Homo,0.223,0.775,0.169863,0.556
Homo,0.236,0.803,0.183229,0.554
Homo,0.199,0.805,0.148258,0.41
Homo,0.191,0.79,0.145501,0.453
Homo,0.284,0.682,0.27288,0.567
Pan,0.279,0.534,0.388371,0.58
Pan,0.351,0.489,0.524558,0.543
Pan,0.293,0.495,0.456174,0.685
Pan,0.293,0.555,0.439457,0.615
Pan,0.335,0.598,0.422475,0.61
Pan,0.273,0.452,0.470415,0.547
Pan,0.375,0.575,0.532747,0.644
Pan,0.31,0.494,0.511341,0.696
Pan,0.283,0.46,0.438648,0.494
Pan,0.284,0.428,0.485915,0.556
Gorilla,0.307,0.482,0.469265,0.46
Gorilla,0.322,0.576,0.408579,0.404
Gorilla,0.293,0.514,0.436012,0.623
Gorilla,0.314,0.643,0.395264,0.643
Gorilla,0.349,0.646,0.426271,0.693
Gorilla,0.332,0.695,0.408244,0.512
Gorilla,0.316,0.807,0.335617,0.432
Gorilla,0.258,0.478,0.374242,0.478
Gorilla,0.329,0.654,0.406788,0.574
Pongo,0.319,0.486,0.489,0.646
Pongo,0.301,0.505,0.44948,0.743
Pongo,0.296,0.573,0.407866,0.824
Pongo,0.307,0.539,0.426935,0.57
Pongo,0.369,0.414,0.675014836,0.598
Pongo,0.278,0.534,0.420745223,0.487
Pongo,0.302,0.522,0.531615878,0.649
Pongo,0.315,0.574,0.459577248,0.746
